WaveID,WaveNumber,MonsterID,MonHpMlt,CreateMonNumber,WaveTime
0301,1,020011,1.0,30,20
0302,2,020011,1.1,30,20
0303,3,020011,1.2,30,20
0304,4,020021,1.3,30,20
0305,5,020021,1.4,30,20
0306,6,020021,1.5,30,20
0307,7,020031,1.6,30,20
0308,8,020031,1.7,30,20
0309,9,020031,1.8,30,20
0310,10,020102,1.0,1,60
0311,11,020041,2.0,30,20
0312,12,020041,2.1,30,20
0313,13,020041,2.2,30,20
0314,14,020051,2.3,30,20
0315,15,020051,2.4,30,20
0316,16,020051,2.5,30,20
0317,17,020061,2.6,30,20
0318,18,020061,2.7,30,20
0319,19,020061,2.8,30,20
0320,20,020112,1.0,1,60
0321,21,020071,3.0,30,20
0322,22,020071,3.1,30,20
0323,23,020071,3.2,30,20
0324,24,020081,3.3,30,20
0325,25,020081,3.4,30,20
0326,26,020081,3.5,30,20
0327,27,020091,3.6,30,20
0328,28,020091,3.7,30,20
0329,29,020091,3.8,30,20
0330,30,020122,1.0,1,60
0331,31,020101,4.0,30,20
0332,32,020101,4.1,30,20
0333,33,020101,4.2,30,20
0334,34,020111,4.3,30,20
0335,35,020111,4.4,30,20
0336,36,020111,4.5,30,20
0337,37,020121,4.6,30,20
0338,38,020121,4.7,30,20
0339,39,020121,4.8,30,20
0340,40,020132,1.0,1,60
0341,41,020141,5.0,30,20
0342,42,020141,5.1,30,20
0343,43,020141,5.2,30,20
0344,44,020151,5.3,30,20
0345,45,020151,5.4,30,20
0346,46,020151,5.5,30,20
0347,47,020161,5.6,30,20
0348,48,020161,5.7,30,20
0349,49,020161,5.8,30,20
0350,50,020142,1.0,1,60
0351,51,020171,6.0,30,20
0352,52,020171,6.1,30,20
0353,53,020171,6.2,30,20
0354,54,020181,6.3,30,20
0355,55,020181,6.4,30,20
0356,56,020181,6.5,30,20
0357,57,020191,6.6,30,20
0358,58,020191,6.7,30,20
0359,59,020191,6.8,30,20
0360,60,020152,1.0,1,60
0361,61,020201,7.0,30,20
0362,62,020201,7.1,30,20
0363,63,020201,7.2,30,20
0364,64,020211,7.3,30,20
0365,65,020211,7.4,30,20
0366,66,020211,7.5,30,20
0367,67,020221,7.6,30,20
0368,68,020221,7.7,30,20
0369,69,020221,7.8,30,20
0370,70,020162,1.0,1,60
0371,71,020231,8.0,30,20
0372,72,020231,8.1,30,20
0373,73,020231,8.2,30,20
0374,74,020241,8.3,30,20
0375,75,020241,8.4,30,20
0376,76,020241,8.5,30,20
0377,77,020251,8.6,30,20
0378,78,020251,8.7,30,20
0379,79,020251,8.8,30,20
0380,80,020172,1.0,1,60
