WaveID,WaveNumber,MonsterID,MonHpMlt,CreateMonNumber,WaveTime
1301,1,120011,1,30,20
1302,2,120011,1.1,30,20
1303,3,120011,1.2,30,20
1304,4,120021,1.3,30,20
1305,5,120021,1.4,30,20
1306,6,120021,1.5,30,20
1307,7,120031,1.6,30,20
1308,8,120031,1.7,30,20
1309,9,120031,1.8,30,20
1310,10,120263,1,1,60
1311,11,120041,2,30,20
1312,12,120041,2.2,30,20
1313,13,120041,2.4,30,20
1314,14,120051,2.6,30,20
1315,15,120051,2.8,30,20
1316,16,120051,3,30,20
1317,17,120061,3.2,30,20
1318,18,120061,3.4,30,20
1319,19,120061,3.6,30,20
1320,20,120273,1,1,60
1321,21,120071,4,30,20
1322,22,120071,4.5,30,20
1323,23,120071,5,30,20
1324,24,120081,5.5,30,20
1325,25,120081,6,30,20
1326,26,120081,6.5,30,20
1327,27,120091,7,30,20
1328,28,120091,7.5,30,20
1329,29,120091,8,30,20
1330,30,120283,1,1,60
1331,31,120101,8.5,30,20
1332,32,120101,9,30,20
1333,33,120101,9.5,30,20
1334,34,120111,10,30,20
1335,35,120111,10.5,30,20
1336,36,120111,11,30,20
1337,37,120121,11.5,30,20
1338,38,120121,12,30,20
1339,39,120121,12.5,30,20
1340,40,120293,1,1,60
1341,41,120141,13,30,20
1342,42,120141,13.5,30,20
1343,43,120141,14,30,20
1344,44,120151,14.5,30,20
1345,45,120151,15,30,20
1346,46,120151,15.5,30,20
1347,47,120161,16,30,20
1348,48,120161,16.5,30,20
1349,49,120161,17,30,20
1350,50,120303,1,1,60
1351,51,120171,17.5,30,20
1352,52,120171,18,30,20
1353,53,120171,18.5,30,20
1354,54,120181,19,30,20
1355,55,120181,19.5,30,20
1356,56,120181,20,30,20
1357,57,120191,20.5,30,20
1358,58,120191,21,30,20
1359,59,120191,21.5,30,20
1360,60,120313,1,1,60
1361,61,120201,22,30,20
1362,62,120201,22.5,30,20
1363,63,120201,23,30,20
1364,64,120211,23.5,30,20
1365,65,120211,24,30,20
1366,66,120211,24.5,30,20
1367,67,120221,25,30,20
1368,68,120221,25.5,30,20
1369,69,120221,26,30,20
1370,70,120323,1,1,60
1371,71,120231,27,30,20
1372,72,120231,28,30,20
1373,73,120231,29,30,20
1374,74,120241,30,30,20
1375,75,120241,31,30,20
1376,76,120241,32,30,20
1377,77,120251,33,30,20
1378,78,120251,34,30,20
1379,79,120251,35,30,20
1380,80,120333,1,1,60
