MonsterID,StringKey,MonType,MonHp,MonSpeed,MonReward,MonQuantity
020011,1000023,1,400,2.0,1,1
020021,1000024,1,400,2.0,1,1
020031,1000025,1,400,2.0,1,1
020041,1000026,1,400,2.0,1,1
020051,1000027,1,400,2.0,1,1
020061,1000028,1,400,2.0,1,1
020071,1000029,1,400,2.0,1,1
020081,1000030,1,400,2.0,1,1
020091,1000031,1,400,2.0,1,1
020101,1000032,1,400,2.0,1,1
020111,1000033,1,400,2.0,1,1
020121,1000034,1,400,2.0,1,1
020131,1000035,1,400,2.0,1,1
020141,1000036,1,400,2.0,1,1
020151,1000037,1,400,2.0,1,1
020161,1000038,1,400,2.0,1,1
020171,1000039,1,400,2.0,1,1
020181,1000040,1,400,2.0,1,1
020191,1000041,1,400,2.0,1,1
020201,1000042,1,400,2.0,1,1
020211,1000043,1,400,2.0,1,1
020221,1000044,1,400,2.0,1,1
020231,1000045,1,400,2.0,1,1
020241,1000046,1,400,2.0,1,1
020251,1000047,1,400,2.0,1,1
020102,1000048,3,15000,2.0,2,2
020112,1000049,3,20000,2.0,2,2
020122,1000050,3,25000,2.0,2,2
020132,1000051,3,30000,2.0,2,2
020142,1000052,3,35000,2.0,2,2
020152,1000053,3,40000,2.0,2,2
020162,1000054,3,45000,2.0,2,2
020172,1000055,3,50000,2.0,2,2
