HeroID,StringKey,Grade,AtkType,AtkRange,HeroDamage,AtkSpeed,HeroSkill,BlockCost,SaleType,SaleQuantity
11001111,2000001,1,1,1,75,2,0,1,1,20
11002121,2000002,1,2,2,50,2,0,1,1,20
11003111,2000003,1,1,1,150,1,0,1,1,20
11004121,2000004,1,2,2,100,1,0,1,1,20
11005121,2000005,1,2,2,35,3,0,1,1,20
11006211,2000006,2,1,1,200,2,0,1,2,1
11007221,2000007,2,2,2,150,2,0,1,2,1
11008211,2000008,2,1,1,400,1,0,1,2,1
11009221,2000009,2,2,2,300,1,0,1,2,1
11010221,2000010,2,2,2,100,3,0,1,2,1
11011311,2000011,3,1,1,650,2,0,1,2,2
11012321,2000012,3,2,2,300,3,0,1,2,2
11013311,2000013,3,1,1,1300,1,0,1,2,2
11014321,2000014,3,2,2,500,2,0,1,2,2
11015311,2000015,3,1,1,650,2,0,1,2,2
11016421,2000016,4,2,2,1000,3,0,1,2,4
11017421,2000017,4,2,2,1500,2,0,1,2,4
11018411,2000018,4,1,1,2000,2,0,1,2,4
11019411,2000019,4,1,1,4000,1,0,1,2,4
11020523,2000020,5,2,2,2150,3,1,3,2,4
11021513,2000021,5,1,1,4000,2,2,3,2,4
11022513,2000022,5,1,1,2700,3,3,3,2,4
