MonsterID,StringKey,MonType,MonHp,MonSpeed,MonReward,MonQuantity,PrefabName
120011,2000023,1,500,2,1,1,Monster_120011
120021,2000024,1,500,2,1,1,Monster_120021
120031,2000025,1,500,2,1,1,Monster_120031
120041,2000026,1,500,2,1,1,Monster_120041
120051,2000027,1,500,2,1,1,Monster_120051
120061,2000028,1,500,2,1,1,Monster_120061
120071,2000029,1,500,2,1,1,Monster_120071
120081,2000030,1,500,2,1,1,Monster_120081
120091,2000031,1,500,2,1,1,Monster_120091
120101,2000032,1,500,2,1,1,Monster_120101
120111,2000033,1,500,2,1,1,Monster_120111
120121,2000034,1,500,2,1,1,Monster_120121
120131,2000035,1,500,2,1,1,Monster_120131
120141,2000036,1,500,2,1,1,Monster_120141
120151,2000037,1,500,2,1,1,Monster_120151
120161,2000038,1,500,2,1,1,Monster_120161
120171,2000039,1,500,2,1,1,Monster_120171
120181,2000040,1,500,2,1,1,Monster_120181
120191,2000041,1,500,2,1,1,Monster_120191
120201,2000042,1,500,2,1,1,Monster_120201
120211,2000043,1,500,2,1,1,Monster_120211
120221,2000044,1,500,2,1,1,Monster_120221
120231,2000045,1,500,2,1,1,Monster_120231
120241,2000046,1,500,2,1,1,Monster_120241
120251,2000047,1,500,2,1,1,Monster_120251
120263,2000048,3,15000,2,2,2,Monster_120263
120273,2000049,3,20000,2,2,2,Monster_120273
120283,2000050,3,25000,2,2,2,Monster_120283
120293,2000051,3,30000,2,2,2,Monster_120293
120303,2000052,3,35000,2,2,2,Monster_120303
120313,2000053,3,40000,2,2,2,Monster_120313
120323,2000054,3,45000,2,2,2,Monster_120323
120333,2000055,3,55000,2,2,2,Monster_120333
